Manufacturer,Model,Part Number,Comments,Interfaces,Console Ports,Power Ports,Device Bays
HPE,Aruba 1930 8G,JL680A,[Aruba Instant On 1930 Switch Series Data Sheet](https://www.hpe.com/psnow/doc/a00098249enw),"1, 2, 3, 4, 5, 6, 7, 8, 9, 10",,PS1,
HPE,OfficeConnect 1920S-24G-2SFP,JL386A,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",console,PS1,
HPE,FlexFabric 5940 32QSFP+,JH396A,[HPE FlexFabric 5940 Switch Series](https://www.hpe.com/psnow/doc/4aa6-6465enw?jumpId=in_psnow_b693e58f-5ef9-4ecf-b43d-1816b8a03edf_gaiw),"Management, FortyGigE1/0/1, FortyGigE1/0/2, FortyGigE1/0/3, FortyGigE1/0/4, FortyGigE1/0/5, FortyGigE1/0/6, FortyGigE1/0/7, FortyGigE1/0/8, FortyGigE1/0/9, FortyGigE1/0/10, FortyGigE1/0/11, FortyGigE1/0/12, FortyGigE1/0/13, FortyGigE1/0/14, FortyGigE1/0/15, FortyGigE1/0/16, FortyGigE1/0/17, FortyGigE1/0/18, FortyGigE1/0/19, FortyGigE1/0/20, FortyGigE1/0/21, FortyGigE1/0/22, FortyGigE1/0/23, FortyGigE1/0/24, FortyGigE1/0/25, FortyGigE1/0/26, FortyGigE1/0/27, FortyGigE1/0/28, FortyGigE1/0/29, FortyGigE1/0/30, FortyGigE1/0/31, FortyGigE1/0/32","Console, USB Console",,
HPE,Aruba EC-L-B,201270,,"lan0, lan1, mgmt0, mgmt1, tlan0, twan0, wan0, wan1",console,,
HPE,ProLiant DL365 Gen11,P53933-B21,[HPE ProLiant DL365 Gen11 QuickSpecs](https://www.hpe.com/psnow/doc/a50004299enw),iLO,Serial,,
HPE,Aruba 2930F-48G-PoE+-4SFP+,JL256ACM,,"Management, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52","Console, USB Console",PS1,
HPE,Aruba 6100-12G-POE4-2SFP+,JL679A,,"1/1/1, 1/1/2, 1/1/3, 1/1/4, 1/1/5, 1/1/6, 1/1/7, 1/1/8, 1/1/9, 1/1/10, 1/1/11, 1/1/12, 1/1/13, 1/1/14, 1/1/15, 1/1/16","usb-c, usb-ble",ps1,
HPE,Aruba 6100-48G-4SFP+,JL676A,,"1/1/1, 1/1/2, 1/1/3, 1/1/4, 1/1/5, 1/1/6, 1/1/7, 1/1/8, 1/1/9, 1/1/10, 1/1/11, 1/1/12, 1/1/13, 1/1/14, 1/1/15, 1/1/16, 1/1/17, 1/1/18, 1/1/19, 1/1/20, 1/1/21, 1/1/22, 1/1/23, 1/1/24, 1/1/25, 1/1/26, 1/1/27, 1/1/28, 1/1/29, 1/1/30, 1/1/31, 1/1/32, 1/1/33, 1/1/34, 1/1/35, 1/1/36, 1/1/37, 1/1/38, 1/1/39, 1/1/40, 1/1/41, 1/1/42, 1/1/43, 1/1/44, 1/1/45, 1/1/46, 1/1/47, 1/1/48, 1/1/49, 1/1/50, 1/1/51, 1/1/52","usb-c, usb-ble",ps1,
HPE,Aruba IAP-305,IAP-305,[Aruba 300 Series Datasheet](https://www.arubanetworks.com/assets/ds/DS_AP300Series.pdf),"Port 1, WiFi","Console, usb-ble",Power,
HPE,Aruba 2530-48G-PoE+,J9772A,[Aruba 2530 Switch Series - Specifications](https://support.hpe.com/hpesc/public/docDisplay?docId=emr_na-c03624915#N12C00),"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52",Console,PS1,
HPE,OfficeConnect 1920-8G-PoE-180W,JG922A,[OfficeConnect 1920 Switch Series - Specifications](https://support.hpe.com/hpesc/public/docDisplay?docId=c04478097&docLocale=en_US),"GE1/0/1, GE1/0/2, GE1/0/3, GE1/0/4, GE1/0/5, GE1/0/6, GE1/0/7, GE1/0/8, GE1/0/9, GE1/0/10",Console,PS1,
HPE,Aruba 6405,R0X24A,[Aruba 6400 Switch Series](https://www.arubanetworks.com/assets/ds/DS_6400Series.pdf),,,,
HPE,ProLiant DX385 Gen10 Plus,,[ProLiant DX385 Gen10 Plus Server Specs](https://www.hpe.com/psnow/doc/a00056112enw),iLO,,,
HPE,FlexNetwork 5140-48G-PoE+-4SFP+ EI,JL824A,[HPE FlexNetwork 5140 EI Switch Series QuickSpecs](https://www.hpe.com/psnow/doc/a50002579enw.pdf),"GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/17, GigabitEthernet1/0/18, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, GigabitEthernet1/0/25, GigabitEthernet1/0/26, GigabitEthernet1/0/27, GigabitEthernet1/0/28, GigabitEthernet1/0/29, GigabitEthernet1/0/30, GigabitEthernet1/0/31, GigabitEthernet1/0/32, GigabitEthernet1/0/33, GigabitEthernet1/0/34, GigabitEthernet1/0/35, GigabitEthernet1/0/36, GigabitEthernet1/0/37, GigabitEthernet1/0/38, GigabitEthernet1/0/39, GigabitEthernet1/0/40, GigabitEthernet1/0/41, GigabitEthernet1/0/42, GigabitEthernet1/0/43, GigabitEthernet1/0/44, GigabitEthernet1/0/45, GigabitEthernet1/0/46, GigabitEthernet1/0/47, GigabitEthernet1/0/48, Ten-GigabitEthernet1/0/49, Ten-GigabitEthernet1/0/50, Ten-GigabitEthernet1/0/51, Ten-GigabitEthernet1/0/52",console,PSU1,
HPE,Primera 2U Enclosure,,16x12gSAS + 8x12gSAS/NVMe SFF Storage Enclosure,,,,"Ctrl1, Ctrl0"
HPE,HPE MSA 2040 LFF Chassis AC,C8R12A,,,,"PS1, PS2",
HPE,Aruba 2530-48G-2SFP+,J9855A,[Aruba 2530 Switch Series - Specifications](https://support.hpe.com/hpesc/public/docDisplay?docId=emr_na-c03624915#N113F7),"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50",Console,PS1,
HPE,Aruba 6200F-48G-POE4-4SFP+ 740W,JL728A,,"1/1/1, 1/1/2, 1/1/3, 1/1/4, 1/1/5, 1/1/6, 1/1/7, 1/1/8, 1/1/9, 1/1/10, 1/1/11, 1/1/12, 1/1/13, 1/1/14, 1/1/15, 1/1/16, 1/1/17, 1/1/18, 1/1/19, 1/1/20, 1/1/21, 1/1/22, 1/1/23, 1/1/24, 1/1/25, 1/1/26, 1/1/27, 1/1/28, 1/1/29, 1/1/30, 1/1/31, 1/1/32, 1/1/33, 1/1/34, 1/1/35, 1/1/36, 1/1/37, 1/1/38, 1/1/39, 1/1/40, 1/1/41, 1/1/42, 1/1/43, 1/1/44, 1/1/45, 1/1/46, 1/1/47, 1/1/48, 1/1/49, 1/1/50, 1/1/51, 1/1/52, mgmt","usb-c, usb-ble",ps1,
HPE,ProLiant XL170r G9 (1U),798155-B21,1U Child module Apollo [Spec Sheet](https://www.hpe.com/psnow/doc/c04545612),,,,
HPE,Aruba 2930M-24SR-PoE6,R0M68A,"IEEE 802.3bt Type 3 PoE6 maximum power budget: **1440W**. Compatible PSUs:

- **JL086A** HPE Aruba Networking X372 54V DC **680W** 110-240V AC
- **JL087A** HPE Aruba Networking X372 54V DC **1050W** 110-240V AC

[HPE Aruba 2930M Switch Series Datasheet](https://www.hpe.com/psnow/doc/a00001977enw)","oobm, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Console, USB Console",,
HPE,Aruba 1430-26G 2SFP,R8R50A,"HPE Instant On 1430-26G 2SFP Switch is an unmanaged Layer 2 Gigabit Ethernet switch with 26 RJ-45 ports and 2 SFP uplinks. It is fanless, supports 802.3az Energy Efficient Ethernet, and is ideal for small business deployments.
Datasheet: https://www.hpe.com/psnow/doc/a00123902enw
","GigabitEthernet1, GigabitEthernet2, GigabitEthernet3, GigabitEthernet4, GigabitEthernet5, GigabitEthernet6, GigabitEthernet7, GigabitEthernet8, GigabitEthernet9, GigabitEthernet10, GigabitEthernet11, GigabitEthernet12, GigabitEthernet13, GigabitEthernet14, GigabitEthernet15, GigabitEthernet16, GigabitEthernet17, GigabitEthernet18, GigabitEthernet19, GigabitEthernet20, GigabitEthernet21, GigabitEthernet22, GigabitEthernet23, GigabitEthernet24, GigabitEthernet25, GigabitEthernet26, SFP1, SFP2",Console,PSU 1,
HPE,Aruba 8325-48Y8C Front-to-Back,JL624A,,"1/1/1, 1/1/2, 1/1/3, 1/1/4, 1/1/5, 1/1/6, 1/1/7, 1/1/8, 1/1/9, 1/1/10, 1/1/11, 1/1/12, 1/1/13, 1/1/14, 1/1/15, 1/1/16, 1/1/17, 1/1/18, 1/1/19, 1/1/20, 1/1/21, 1/1/22, 1/1/23, 1/1/24, 1/1/25, 1/1/26, 1/1/27, 1/1/28, 1/1/29, 1/1/30, 1/1/31, 1/1/32, 1/1/33, 1/1/34, 1/1/35, 1/1/36, 1/1/37, 1/1/38, 1/1/39, 1/1/40, 1/1/41, 1/1/42, 1/1/43, 1/1/44, 1/1/45, 1/1/46, 1/1/47, 1/1/48, 1/1/49, 1/1/50, 1/1/51, 1/1/52, 1/1/53, 1/1/54, 1/1/55, 1/1/56, mgmt","rj45-console, usb-console, usb-ble","ps1, ps2",
HPE,Aruba EC-M-P gen2,201552,,"lan0, lan1, mgmt0, mgmt1, tlan0, twan0, wan0, wan1",console,,
HPE,FlexNetwork 3600 24 v2 SI,JG304B,[HPE 3600 SI Switch Series - Specifications](https://www.hpe.com/psnow/doc/c04111590?jumpid=in_lit-psnow-red),"Ethernet1/0/1, Ethernet1/0/2, Ethernet1/0/3, Ethernet1/0/4, Ethernet1/0/5, Ethernet1/0/6, Ethernet1/0/7, Ethernet1/0/8, Ethernet1/0/9, Ethernet1/0/10, Ethernet1/0/11, Ethernet1/0/12, Ethernet1/0/13, Ethernet1/0/14, Ethernet1/0/15, Ethernet1/0/16, Ethernet1/0/17, Ethernet1/0/18, Ethernet1/0/19, Ethernet1/0/20, Ethernet1/0/21, Ethernet1/0/22, Ethernet1/0/23, Ethernet1/0/24, GigabitEthernet1/0/25, GigabitEthernet1/0/26, GigabitEthernet1/0/27, GigabitEthernet1/0/28",Console,PS1,
HPE,ProCurve 5406zl,J8697A,[HP ProCurve Switch 5400zl Series](https://www.hp.com/hpinfo/newsroom/press_kits/2010/HPOptimizesAppDelivery/E5400zl_Switch_Series_Data_Sheet.pdf),,,,
HPE,ProLiant DL360 Gen11,P19766-B21,[HPE ProLiant DL360 G11 Server QuickSpecs](https://www.hpe.com/psnow/doc/a50004306enw),"Gig-E 1, Gig-E 2, Gig-E 3, Gig-E 4, iLO",Serial,,
HPE,ClearPass C2000,JZ509A,,"Gig-E 1, Gig-E 2 / iLO",,PS1,
HPE,Aruba 6410 v2,R0X25C,[Aruba 6400 v2 Switch Series](https://www.arubanetworks.com/assets/ds/DS_6400Series.pdf),,,,
HPE,FlexNetwork 5130-48G-4SFP+ EI,JG934A,[HPE FlexNetwork 5130 EI Switch Series QuickSpecs](https://www.hpe.com/psnow/doc/c04394228.pdf),"GigabitEthernet1/0/0, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/17, GigabitEthernet1/0/18, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, GigabitEthernet1/0/25, GigabitEthernet1/0/26, GigabitEthernet1/0/27, GigabitEthernet1/0/28, GigabitEthernet1/0/29, GigabitEthernet1/0/30, GigabitEthernet1/0/31, GigabitEthernet1/0/32, GigabitEthernet1/0/33, GigabitEthernet1/0/34, GigabitEthernet1/0/35, GigabitEthernet1/0/36, GigabitEthernet1/0/37, GigabitEthernet1/0/38, GigabitEthernet1/0/39, GigabitEthernet1/0/40, GigabitEthernet1/0/41, GigabitEthernet1/0/42, GigabitEthernet1/0/43, GigabitEthernet1/0/44, GigabitEthernet1/0/45, GigabitEthernet1/0/46, GigabitEthernet1/0/47, GigabitEthernet1/0/48, Ten-GigabitEthernet1/0/49, Ten-GigabitEthernet1/0/50, Ten-GigabitEthernet1/0/51, Ten-GigabitEthernet1/0/52",console,PSU1,
HPE,Aruba AP-575,AP-575,[Aruba 570 Series Datasheet](https://www.arubanetworks.com/assets/ds/DS_AP570Series.pdf),"E0, E1, 2.4GHz WiFi, 5GHz WiFi, Bluetooth, Zigbee",Serial Console,,
HPE,Synergy 480 Gen10,871940-B21,[QuickSpecs](https://www.hpe.com/psnow/doc/a00008520enw),,,,
HPE,Aruba 1830 24G 2SFP,JL812A,[Aruba Instant On 1830 Switch Series Data Sheet](https://www.hpe.com/psnow/doc/a50004271enw.pdf?section=Product%20Documentation),"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",,PS1,
HPE,Aruba AP-335,AP-335,[Aruba 330 Series Datasheet](https://www.arubanetworks.com/assets/ds/DS_AP330Series.pdf),"ENET0, ENET1, 5GHz WiFi, 2.4GHz WiFi, Bluetooth",Serial Console,Power,
HPE,HPE P2000 DC-power SFF Chassis,AP841B,,,,"PS1, PS2",
HPE,HPE MSA 2040 energy start LFF Disk Enclosure,M0S96A,,,,"PS1, PS2",
HPE,OfficeConnect 1920-48G,JG927A,[OfficeConnect 1920 Switch Series - Specifications](https://support.hpe.com/hpesc/public/docDisplay?docId=c04478097&docLocale=en_US),"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52",,PS1,
HPE,FlexFabric 5700-40XG-2QSFP+,JG896A,[HPE FlexFabric 5700 Switch Series - Specification](https://support.hpe.com/hpesc/public/docDisplay?docId=c04400247),"Management, Ten-GigabitEthernet1/0/0, Ten-GigabitEthernet1/0/1, Ten-GigabitEthernet1/0/2, Ten-GigabitEthernet1/0/3, Ten-GigabitEthernet1/0/4, Ten-GigabitEthernet1/0/5, Ten-GigabitEthernet1/0/6, Ten-GigabitEthernet1/0/7, Ten-GigabitEthernet1/0/8, Ten-GigabitEthernet1/0/9, Ten-GigabitEthernet1/0/10, Ten-GigabitEthernet1/0/11, Ten-GigabitEthernet1/0/12, Ten-GigabitEthernet1/0/13, Ten-GigabitEthernet1/0/14, Ten-GigabitEthernet1/0/15, Ten-GigabitEthernet1/0/16, Ten-GigabitEthernet1/0/17, Ten-GigabitEthernet1/0/18, Ten-GigabitEthernet1/0/19, Ten-GigabitEthernet1/0/20, Ten-GigabitEthernet1/0/21, Ten-GigabitEthernet1/0/22, Ten-GigabitEthernet1/0/23, Ten-GigabitEthernet1/0/24, Ten-GigabitEthernet1/0/25, Ten-GigabitEthernet1/0/26, Ten-GigabitEthernet1/0/27, Ten-GigabitEthernet1/0/28, Ten-GigabitEthernet1/0/29, Ten-GigabitEthernet1/0/30, Ten-GigabitEthernet1/0/31, Ten-GigabitEthernet1/0/32, Ten-GigabitEthernet1/0/33, Ten-GigabitEthernet1/0/34, Ten-GigabitEthernet1/0/35, Ten-GigabitEthernet1/0/36, Ten-GigabitEthernet1/0/37, Ten-GigabitEthernet1/0/38, Ten-GigabitEthernet1/0/39, Ten-GigabitEthernet1/0/40, FortyGigE1/0/41, FortyGigE1/0/42","console, usb",,
HPE,Aruba 2930F-48G-4SFP+,JL254A,,"Management, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52","Console, USB Console",PS1,
HPE,HP 3100-8 v2 EI,JD318B,[HPE FlexNetwork 3100 EI Switch Series - QuickSpecs](https://support.hpe.com/hpesc/public/docDisplay?docLocale=en_US&docId=c04111573),"Ethernet1/0/1, Ethernet1/0/2, Ethernet1/0/3, Ethernet1/0/4, Ethernet1/0/5, Ethernet1/0/6, Ethernet1/0/7, Ethernet1/0/8, GigabitEthernet1/0/9",Console,PS1,
HPE,FlexFabric 5945 48SFP28 8QSFP28,JQ074A,[HPE FlexFabric 5945 48SFP28 8QSFP28 Specs](https://www.hpe.com/psnow/doc/a00047323enw),"M-GigabitEthernet0/0/0, M-GigabitEthernet0/0/1, Twenty-FiveGigE1/0/1, Twenty-FiveGigE1/0/2, Twenty-FiveGigE1/0/3, Twenty-FiveGigE1/0/4, Twenty-FiveGigE1/0/5, Twenty-FiveGigE1/0/6, Twenty-FiveGigE1/0/7, Twenty-FiveGigE1/0/8, Twenty-FiveGigE1/0/9, Twenty-FiveGigE1/0/10, Twenty-FiveGigE1/0/11, Twenty-FiveGigE1/0/12, Twenty-FiveGigE1/0/13, Twenty-FiveGigE1/0/14, Twenty-FiveGigE1/0/15, Twenty-FiveGigE1/0/16, Twenty-FiveGigE1/0/17, Twenty-FiveGigE1/0/18, Twenty-FiveGigE1/0/19, Twenty-FiveGigE1/0/20, Twenty-FiveGigE1/0/21, Twenty-FiveGigE1/0/22, Twenty-FiveGigE1/0/23, Twenty-FiveGigE1/0/24, HundredGigE1/0/25, HundredGigE1/0/26, HundredGigE1/0/27, HundredGigE1/0/28, HundredGigE1/0/29, HundredGigE1/0/30, HundredGigE1/0/31, HundredGigE1/0/32, Twenty-FiveGigE1/0/33, Twenty-FiveGigE1/0/34, Twenty-FiveGigE1/0/35, Twenty-FiveGigE1/0/36, Twenty-FiveGigE1/0/37, Twenty-FiveGigE1/0/38, Twenty-FiveGigE1/0/39, Twenty-FiveGigE1/0/40, Twenty-FiveGigE1/0/41, Twenty-FiveGigE1/0/42, Twenty-FiveGigE1/0/43, Twenty-FiveGigE1/0/44, Twenty-FiveGigE1/0/45, Twenty-FiveGigE1/0/46, Twenty-FiveGigE1/0/47, Twenty-FiveGigE1/0/48, Twenty-FiveGigE1/0/49, Twenty-FiveGigE1/0/50, Twenty-FiveGigE1/0/51, Twenty-FiveGigE1/0/52, Twenty-FiveGigE1/0/53, Twenty-FiveGigE1/0/54, Twenty-FiveGigE1/0/55, Twenty-FiveGigE1/0/56","Console, USB Console",,
HPE,ProCurve-1910-24-PoEP,JG539A,[HPE 1910-24-PoE+ Datasheet](https://www.hpe.com/psnow/doc/c03824531.pdf?jumpid=in_lit-psnow-getpdf),"FastEthernet 1/0/1, FastEthernet 1/0/2, FastEthernet 1/0/3, FastEthernet 1/0/4, FastEthernet 1/0/5, FastEthernet 1/0/6, FastEthernet 1/0/7, FastEthernet 1/0/8, FastEthernet 1/0/9, FastEthernet 1/0/10, FastEthernet 1/0/11, FastEthernet 1/0/12, FastEthernet 1/0/13, FastEthernet 1/0/14, FastEthernet 1/0/15, FastEthernet 1/0/16, FastEthernet 1/0/17, FastEthernet 1/0/18, FastEthernet 1/0/19, FastEthernet 1/0/20, FastEthernet 1/0/21, FastEthernet 1/0/22, FastEthernet 1/0/23, FastEthernet 1/0/24, GigabitEthernet 1/0/25, GigabitEthernet 1/0/26, GigabitEthernet 1/0/27, GigabitEthernet 1/0/28",Serial console port,C14,
HPE,ProLiant DL325 Gen10,,,"Gig-E 1, Gig-E 2, Gig-E 3, Gig-E 4, iLO",Serial,,
HPE,Aruba IAP-315,IAP-315,[Aruba 310 Series Datasheet](https://www.arubanetworks.com/assets/ds/DS_AP310Series.pdf),"Port 1, WiFi","Console, usb-ble",Power,
HPE,Aruba AP-535,AP-535,[Aruba 530 Series Datasheet](https://www.arubanetworks.com/assets/ds/DS_AP530Series.pdf),"E0, E1, 5GHz WiFi, 2.4GHz WiFi, Bluetooth",Serial Console,48 Vdc,
HPE,MSA 3600 LFF Disk Enclosure,QW968A,,,,,
HPE,ProLiant DL580 Gen10,,,iLO,Serial,,
HPE,ProCurve 630,J9443A,[HP ProCurve 630](https://support.hpe.com/hpesc/public/docDisplay?docId=c01844319&page=GUID-1E1EB048-A628-446E-83DF-C2B76B71F107.html&docLocale=en_US),,,PS1,
HPE,Aruba EC-US,201106,,"lan0, wan0, wan1",console,PS1,
HPE,Aruba 640 Redundant/External Power Supply Shelf,J9805A,,,,,
HPE,ProCurve 2650 J4899A,J4899A,[HP ProCurve 2600 Switch Series - Specifications](https://support.hpe.com/hpesc/public/docDisplay?docId=emr_na-c01815266),"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50",Console,PS1,
HPE,FlexNetwork 5140-48G-PoE+-4SFP+-1-slot HI,R9L64A,[HPE FlexNetwork 5140 HI Switch Series QuickSpecs](https://www.hpe.com/psnow/doc/a50004280enw),"Management, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/17, GigabitEthernet1/0/18, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, GigabitEthernet1/0/25, GigabitEthernet1/0/26, GigabitEthernet1/0/27, GigabitEthernet1/0/28, GigabitEthernet1/0/29, GigabitEthernet1/0/30, GigabitEthernet1/0/31, GigabitEthernet1/0/32, GigabitEthernet1/0/33, GigabitEthernet1/0/34, GigabitEthernet1/0/35, GigabitEthernet1/0/36, GigabitEthernet1/0/37, GigabitEthernet1/0/38, GigabitEthernet1/0/39, GigabitEthernet1/0/40, GigabitEthernet1/0/41, GigabitEthernet1/0/42, GigabitEthernet1/0/43, GigabitEthernet1/0/44, GigabitEthernet1/0/45, GigabitEthernet1/0/46, GigabitEthernet1/0/47, GigabitEthernet1/0/48, Ten-GigabitEthernet1/0/49, Ten-GigabitEthernet1/0/50, Ten-GigabitEthernet1/0/51, Ten-GigabitEthernet1/0/52",console,,
HPE,ProLiant ML350p Gen8,652063-B21,[HP ProLiant ML350p QuickSpecs](https://www.hpe.com/psnow/doc/c04123166),"Gig-E 1, Gig-E 2, Gig-E 3, Gig-E 4, iLO",,,
HPE,Aruba 2920-48G-PoE+-740W,J9836A,,"Management, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48","Console, USB Console",XPS,
HPE,Aruba 2530-24G-PoE+,J9773A,[Aruba 2530 Switch Series - Specifications](https://support.hpe.com/hpesc/public/docDisplay?docId=emr_na-c03624915#N127FD),"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28",Console,PS1,
HPE,Aruba 1960 48G PoE 2XGT 2SFP+ 600W,JL809A,[Aruba Instant On 1960 Switch Series Data Sheet](https://www.hpe.com/psnow/doc/a00118137enw),"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52",,PS1,
HPE,Aruba 8360-16Y2C Back-to-Front,JL703C,,"1/1/1, 1/1/2, 1/1/3, 1/1/4, 1/1/5, 1/1/6, 1/1/7, 1/1/8, 1/1/9, 1/1/10, 1/1/11, 1/1/12, 1/1/13, 1/1/14, 1/1/15, 1/1/16, 1/1/17, 1/1/18, mgmt","rj45-console, usb-console, usb-ble","ps1, ps2",
HPE,Nimble-HF40,Q8H39A,HPE Nimble Storage HF40 Adaptive Dual Controller 10GBASE-T 2-port Configure-to-order Base Array,,,,"A, B"
HPE,ProLiant DL385 Gen11,P53921-B21,[HPE ProLiant DL385 G11 Server QuickSpecs](https://www.hpe.com/psnow/doc/a50004300enw.pdf),iLO,Serial,,
HPE,ProCurve 2610-24,J9085A,[HP Switch 2610 Series](https://www.hpe.com/psnow/doc/c04111724.pdf?jumpid=in_lit-psnow-getpdf),"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",Console,PS1,
HPE,Aruba 6100-48G-POE4-4SFP+ 740W,R9Y04A,,"1/1/1, 1/1/2, 1/1/3, 1/1/4, 1/1/5, 1/1/6, 1/1/7, 1/1/8, 1/1/9, 1/1/10, 1/1/11, 1/1/12, 1/1/13, 1/1/14, 1/1/15, 1/1/16, 1/1/17, 1/1/18, 1/1/19, 1/1/20, 1/1/21, 1/1/22, 1/1/23, 1/1/24, 1/1/25, 1/1/26, 1/1/27, 1/1/28, 1/1/29, 1/1/30, 1/1/31, 1/1/32, 1/1/33, 1/1/34, 1/1/35, 1/1/36, 1/1/37, 1/1/38, 1/1/39, 1/1/40, 1/1/41, 1/1/42, 1/1/43, 1/1/44, 1/1/45, 1/1/46, 1/1/47, 1/1/48, 1/1/49, 1/1/50, 1/1/51, 1/1/52","usb-c, usb-ble",ps1,
